sat_date,fecha,SENSOR,delta_days,lat,lon,latitud,longitud,concentracion,unidades,b2,b3,b4,b5,weight,station,TSS_scenA,TSS_scenB,TSS_scenC,TSS_scenD
15/02/2022,15/02/2022 10:09,LANDSAT,0.422916667,10.8569603,-74.41130066,10.85696,-74.4113,52.0,mg/L,0.0173325,0.0399925,0.041835,0.0293775,0.6551332250541629,"10.857,-74.411",50.53571804724137,84.10567184374698,89.7875767871016,72.25962383828409
04/04/2022,04/04/2022 11:19,LANDSAT,0.471527778,10.8569603,-74.41130066,10.85696,-74.4113,55.0,mg/L,0.0125475,0.037655,0.0287175,0.02726,0.6240481326066036,"10.857,-74.411",32.828813035697856,50.0016462401943,58.32745007237563,55.173644610441094
15/02/2022,15/02/2022 09:29,LANDSAT,0.395138889,10.73208046,-74.42758179,10.73208,-74.42758,62.4,mg/L,0.00988,0.0341075,0.0313025,0.02539,0.6735864789992916,"10.732,-74.428",36.16629104889467,56.464194655802466,67.21890072467808,35.05872151806892
26/02/2020,25/02/2020 09:44,LANDSAT,0.594444444,10.77441025,-74.37545013,10.77441,-74.37545,63.1,mg/L,0.0106225,0.0365825,0.02253,0.016205,0.551869074894254,"10.774,-74.375",25.1197411257829,35.225010573448266,46.10128675105478,29.69467120950644
15/02/2022,15/02/2022 10:12,LANDSAT,0.425,10.8569603,-74.41130066,10.85696,-74.4113,63.6,mg/L,0.0173325,0.0399925,0.041835,0.0293775,0.6537697851298473,"10.857,-74.411",50.53571804724137,84.10567184374698,89.7875767871016,72.25962383828409
09/08/2016,08/08/2016 14:42,LANDSAT,0.3875,10.73208046,-74.42758179,10.73208,-74.42758,64.7,mg/L,0.03529,0.0353175,0.0451625,0.050965,0.6787516342514144,"10.732,-74.428",55.35132636079592,97.1908979053565,102.87633051991682,89.60580583153315
27/01/2015,26/01/2015 12:16,LANDSAT,0.488888889,10.8569603,-74.41130066,10.85696,-74.4113,66.0,mg/L,0.03078,0.0421375,0.0327875,0.02121,0.6133074684143497,"10.857,-74.411",38.11602364685696,59.56332374086594,67.72131736234364,67.03550337749255
04/04/2022,01/04/2022 03:50,LANDSAT,2.840277778,10.8569603,-74.41130066,10.85696,-74.4113,66.0,mg/L,0.0290475,0.037655,0.0287175,0.02451,0.058409438853732065,"10.857,-74.411",32.828813035697856,50.0016462401943,58.32745007237563,53.64322591496804
15/02/2022,15/02/2022 08:07,LANDSAT,0.338194444,10.8740797,-74.33000183,10.87408,-74.33,66.1,mg/L,0.028525,0.043155,0.03452,0.027865,0.7130566248352593,"10.874,-74.33",40.42137536450478,61.74937144313244,71.07469159251708,96.50066749528777
22/01/2019,21/01/2019 13:00,LANDSAT,0.458333333,10.8569603,-74.41130066,10.85696,-74.4113,75.3,mg/L,0.0310825,0.04222,0.0414775,0.0159575,0.6323366623970287,"10.857,-74.411",50.02656634120554,83.03698139827934,88.8829592281062,37.02215853684812
26/02/2020,25/02/2020 08:59,LANDSAT,0.625694444,10.8740797,-74.33000183,10.87408,-74.33,75.8,mg/L,0.03089,0.0561075,0.04805,0.0287725,0.5348898484672255,"10.874,-74.33",59.64551179213857,105.24350087913346,104.87734069600052,138.23508122032453
26/02/2020,25/02/2020 11:04,LANDSAT,0.538888889,10.8569603,-74.41130066,10.85696,-74.4113,78.9,mg/L,0.02132,0.03925,0.02429,0.0120525,0.5833961102217717,"10.857,-74.411",27.273539206942267,40.46350736570482,48.457310797685025,29.214419204143816
21/02/2024,19/02/2024 10:09,LANDSAT,1.577083333,10.77441025,-74.37545013,10.77441,-74.37545,80.2,mg/L,0.01505,0.042935,0.0236025,0.0449975,0.20657673593859308,"10.774,-74.375",26.42859671671391,37.358455246092966,48.503378660007556,63.52186108576271
21/02/2024,19/02/2024 11:36,LANDSAT,1.516666667,10.8569603,-74.41130066,10.85696,-74.4113,82.9,mg/L,0.0275075,0.0242075,0.045135,0.0227225,0.21944214291947925,"10.857,-74.411",55.310952079451035,94.41308224931791,98.27180752352055,37.22688291958377
26/02/2020,25/02/2020 10:24,LANDSAT,0.566666667,10.73208046,-74.42758179,10.73208,-74.42758,87.1,mg/L,0.018515,0.033365,0.023355,0.0222,0.5674136686078659,"10.732,-74.428",26.125555756569074,38.55151608424313,48.5571256506141,43.043809473801055
16/01/2017,16/01/2017 14:15,LANDSAT,0.59375,10.8569603,-74.41130066,10.85696,-74.4113,89.9,mg/L,0.02418,0.043375,0.0287725,0.01274,0.5522524501630204,"10.857,-74.411",32.8990881999775,50.125558242513094,58.45230902269442,21.638623322026373
15/02/2022,15/02/2022 09:05,LANDSAT,0.378472222,10.77441025,-74.37545013,10.77441,-74.37545,96.1,mg/L,0.0094125,0.0432925,0.0328975,0.0248675,0.6849069961373742,"10.774,-74.375",38.26140689755621,58.32564247170707,70.2196763115746,104.55175730772231
05/03/2017,06/03/2017 13:45,LANDSAT,1.572916667,10.8569603,-74.41130066,10.85696,-74.4113,104.5,mg/L,0.0119425,0.04629,0.0270675,0.03309,0.20743926789403036,"10.857,-74.411",30.735162333296092,46.34792697933015,54.607629112643,56.76415581323169
09/08/2016,08/08/2016 15:15,LANDSAT,0.364583333,10.77441025,-74.37545013,10.77441,-74.37545,105.0,mg/L,0.0089725,0.03518,0.0470875,0.021265,0.694485959982503,"10.774,-74.375",58.20193052131128,102.23130629617772,106.81574602987922,134.9628868160595
15/02/2022,15/02/2022 08:10,LANDSAT,0.340277778,10.8740797,-74.33000183,10.87408,-74.33,113.0,mg/L,0.013675,0.0447225,0.0366375,0.03012,0.7115726360836697,"10.874,-74.33",43.28488410039631,67.47281448892282,76.10972561698247,88.89277366331446
15/02/2016,15/02/2016 14:55,LANDSAT,0.621527778,10.8569603,-74.41130066,10.85696,-74.4113,118.0,mg/L,0.0231075,0.0472525,0.0303125,0.0180475,0.5371232054076659,"10.857,-74.411",34.87971437393855,53.652531746243525,61.97131758837521,38.39707382393774
09/08/2016,08/08/2016 15:17,LANDSAT,0.363194444,10.77441025,-74.37545013,10.77441,-74.37545,130.0,mg/L,0.0195325,0.0353175,0.02011,0.02253,0.6954511940392967,"10.774,-74.375",22.207180038721404,30.597546285357307,40.75597633634002,52.65516029616094
09/08/2016,08/08/2016 13:20,LANDSAT,0.444444444,10.8569603,-74.41130066,10.85696,-74.4113,136.0,mg/L,0.0167825,0.0369675,0.0479125,0.0229425,0.6411803887149237,"10.857,-74.411",59.43853069966154,103.75803456088886,105.60533906571618,95.9836198934233
04/04/2022,04/04/2022 09:30,LANDSAT,0.395833333,10.77441025,-74.37545013,10.77441,-74.37545,138.0,mg/L,0.039745,0.0493975,0.0616625,0.060975,0.6731188732922502,"10.774,-74.375",81.4685693316788,174.0121403814766,149.51610596428287,191.52938411942515
09/08/2016,08/08/2016 13:22,LANDSAT,0.443055556,10.8569603,-74.41130066,10.85696,-74.4113,146.0,mg/L,0.0233825,0.0369675,0.0479125,0.0229425,0.6420715351707019,"10.857,-74.411",59.43853069966154,103.75803456088886,105.60533906571618,94.17502423941654
04/04/2022,04/04/2022 10:01,LANDSAT,0.417361111,10.73208046,-74.42758179,10.73208,-74.42758,149.0,mg/L,0.02308,0.0449425,0.04684,0.0360325,0.6587829832040714,"10.732,-74.428",57.83270818165754,103.21232033493827,107.48824270220337,127.70197755763242
15/02/2016,15/02/2016 15:22,LANDSAT,0.640277778,10.8740797,-74.33000183,10.87408,-74.33,157.0,mg/L,0.02803,0.0473075,0.0471425,0.0349875,0.5271459741493038,"10.874,-74.33",58.28408972495935,101.72441146496583,102.48349207804922,148.70330303427747
15/02/2016,15/02/2016 15:25,LANDSAT,0.642361111,10.8740797,-74.33000183,10.87408,-74.33,159.0,mg/L,0.0424125,0.0418075,0.0594625,0.032705,0.5260488967311373,"10.874,-74.33",77.75328880051465,160.65559687372627,136.71704567116964,159.38277764824556
09/05/2023,09/05/2023 10:10,LANDSAT,0.423611111,10.8569603,-74.41130066,10.85696,-74.4113,168.0,mg/L,0.04431,0.048765,0.0555025,0.056355,0.6546784296500705,"10.857,-74.411",71.25501445354219,133.01541999407357,126.59986498525069,155.03317170267448
16/03/2015,16/03/2015 14:30,LANDSAT,0.604166667,10.8569603,-74.41130066,10.85696,-74.4113,224.0,mg/L,0.047445,0.0641925,0.06851,0.0636425,0.5465296781415887,"10.857,-74.411",93.5435118276418,200.9164107339301,166.20017634473922,181.30713893697285
15/02/2016,15/02/2016 14:59,LANDSAT,0.624305556,10.8569603,-74.41130066,10.85696,-74.4113,231.0,mg/L,0.0533575,0.0747525,0.0633125,0.0730475,0.5356332667019109,"10.857,-74.411",84.30614221904591,170.4396681302498,149.78800164748233,219.41701570465548
04/04/2022,04/04/2022 08:26,LANDSAT,0.351388889,10.8740797,-74.33000183,10.87408,-74.33,232.0,mg/L,0.0585275,0.06884,0.071205,0.072855,0.7037100355440377,"10.874,-74.33",98.52040762395109,253.22872511855633,173.2327889463734,226.48855563684347
