id_estacion;SENSOR;latitud;longitud;fecha;sat_date;delta_days;concentracion;unidades;SR_B2;SR_B3;SR_B4;SR_B5
17524;SENTINEL;10.82579;BADLON;07/03/2023;07/03/2023;0.456944444;90.9;mg/L;0.2026;0.2216;0.2142;0.1614
17523;SENTINEL;10.84438;BADLON;07/03/2023;07/03/2023;0.438888889;92.8;mg/L;0.158;0.191;0.1748;0.1154
17524;SENTINEL;10.82579;BADLON;23/01/2024;23/01/2024;0.490972222;92.9;mg/L;0.0679;0.089;0.0918;0.0496
17527;SENTINEL;10.833;-74.57445;04/04/2022 12:21;03/04/2022;1.514583333;93.1;mg/L;0.1438;0.154;0.1318;0.0888
17527;SENTINEL;10.833;BADLON;18/02/2019;18/02/2019;0.506944444;93.9;mg/L;0.1013;0.1178;0.0928;0.069
17524;SENTINEL;10.82579;-74.59268;12/04/2023 12:17;11/04/2023;1.511805556;94.2;mg/L;0.6248;0.5864;0.5304;0.5528
17523;SENTINEL;10.84438;-74.50986;12/04/2023 11:53;11/04/2023;1.495138889;94.7;mg/L;0.588;0.5708;0.5088;0.5072
17523;SENTINEL;10.84438;-74.50986;06/03/2017 13:10;05/03/2017;1.548611111;97.1;mg/L;0.0304;0.0684;0.0384;0.026
17527;SENTINEL;10.833;BADLON;21/02/2023;22/02/2023;0.515277778;98.2;mg/L;0.0681;0.0913;0.0881;0.0507
17527;SENTINEL;10.833;BADLON;07/03/2023;07/03/2023;0.45;103;mg/L;0.146;0.1642;0.1378;0.0982
17523;SENTINEL;10.84438;-74.50986;04/04/2022 11:58;03/04/2022;1.498611111;104;mg/L;0.1088;0.1226;0.102;0.0758
17527;SENTINEL;10.833;BADLON;22/03/2022;22/03/2022;0.465277778;108;mg/L;0.1692;0.2026;0.2264;0.1826
57925;SENTINEL;10.8405;-74.51031;19/03/2024 13:12;18/03/2024;1.55;116;mg/L;0.0583;0.0832;0.0694;0.043
17524;SENTINEL;10.82579;-74.59268;02/08/2021 11:00;01/08/2021;1.458333333;119;mg/L;0.0749;0.1162;0.1262;0.0579
17524;SENTINEL;10.82579;BADLON;12/02/2018;13/02/2018;0.472222222;123;mg/L;0.0692;0.0896;0.0921;0.0558
17524;SENTINEL;10.82579;-74.59268;25/01/2023 12:13;23/01/2023;2.509027778;125;mg/L;0.2546;0.2636;0.2392;0.2996
17524;SENTINEL;10.82579;-74.59268;27/01/2022 10:51;26/01/2022;1.452083333;133;mg/L;0.0791;0.1112;0.126;0.0604
17524;SENTINEL;10.82579;BADLON;10/10/2023;10/10/2023;0.461111111;136;mg/L;0.1072;0.1376;0.137;0.0645
17524;SENTINEL;10.82579;BADLON;18/02/2019;18/02/2019;0.53125;144;mg/L;0.117;0.13;0.1256;0.0841
17523;SENTINEL;10.84438;-74.50986;04/04/2022 11:59;03/04/2022;1.499305556;144;mg/L;0.1088;0.1226;0.102;0.0758
17524;SENTINEL;10.82579;BADLON;17/09/2025;17/09/2025;0.531944444;153;mg/L;0.1264;0.1542;0.151;0.214
17524;SENTINEL;10.82579;BADLON;16/09/2019;16/09/2019;0.5375;159;mg/L;0.0774;0.1038;0.1058;0.0593
17524;SENTINEL;10.82579;-74.59268;24/05/2021 11:17;26/05/2021;1.529861111;160;mg/L;0.1816;0.1976;0.202;0.1324
17524;SENTINEL;10.82579;BADLON;09/03/2020;09/03/2020;0.569444444;175;mg/L;0.0606;0.0934;0.0774;0.0496
17524;SENTINEL;10.82579;-74.59268;06/03/2017 12:18;05/03/2017;1.5125;188;mg/L;0.0564;0.0897;0.0678;0.0565
17524;SENTINEL;10.82579;-74.59268;19/03/2024 14:31;18/03/2024;1.604861111;192;mg/L;0.076;0.0958;0.0794;0.0406
17527;SENTINEL;10.833;-74.57445;04/04/2022 12:25;03/04/2022;1.517361111;201;mg/L;0.1438;0.154;0.1318;0.0888
17524;SENTINEL;10.82579;BADLON;22/03/2022;22/03/2022;0.472222222;224;mg/L;0.1866;0.2124;0.233;0.1738
17524;SENTINEL;10.82579;BADLON;12/08/2025;12/08/2025;0.485416667;251;mg/L;0.0582;0.0842;0.09;0.0994
17524;SENTINEL;10.82579;-74.59268;11/03/2019 14:05;10/03/2019;1.586805556;276;mg/L;0.0697;0.0888;0.0918;0.0551
17524;SENTINEL;10.82579;BADLON;03/12/2018;03/12/2018;0.493055556;282;mg/L;0.062;0.091;0.1;0.0416
17524;SENTINEL;10.82579;-74.59268;04/04/2022 12:38;03/04/2022;1.526388889;617;mg/L;0.1412;0.147;0.1388;0.1106
